Real name,msrc-vgg-11-latelr,msrc-vgg-11-ns-fixed2,msrc-vgg-11-ns-inv-grouptree-conv2-wmomentum,msrc-vgg-11-ns-latelr2
Name,VGG11,msrc-vgg-11-ns conv5 512,Conditional Network,VGG11-GMP
conv1-1,86704192,86704192,86704192,86704192
conv2-1,924844160,924844160,924844160,924844160
conv3-1,924844288,924844288,462422272,924844288
conv3-2,1849688320,1849688320,924844288,1849688320
conv4-1,924844544,924844544,231211520,924844544
conv4-2,1849688576,1849688576,462422528,1849688576
conv5-1,462422528,462422528,115606528,462422528
conv5-2,462422528,462422528,231212032,924845056
fc6,102764544,2101248,4198400,4198400
fc7,16781312,16781312,16781312,16781312
fc8,4097000,4097000,4097000,4097000
Total,7609101992,7508438696,3464344232,7972958376
