Layer,Multiply-Accumulate,CPU Timing,GPU Timing
conv1x-1,14450720,246.796,2.23236
conv1y-1,14450720,226.556,2.40084
conv2x-1,154140736,405.571,5.00335
conv2y-1,154140736,391.405,5.03712
conv3x-1,154140800,372.118,2.97627
conv3y-1,154140800,370.416,2.94681
conv3x-2,308281472,703.914,5.39157
conv3y-2,308281472,695.44,5.38063
conv4x-1,154140928,323.306,2.54944
conv4y-1,154140928,318.538,2.46492
conv4x-2,308281600,623.613,5.06901
conv4y-2,308281600,614.931,4.45124
conv5x-1,77070592,156.019,1.73743
conv5y-1,77070592,153.994,1.72896
conv5x-2,77070592,159.563,1.73447
conv5y-2,77070592,161.303,1.74136
