Network, Stride, Real Name, Multiply-Acc., Param., Top-1 Acc., Top-5 Acc.
GoogLeNet, 2, GoogLeNet, 1591056680, 13378280, 0.687, 0.889
AlexNet, 4, AlexNet, 724417384, 60965224, 0.57258, 0.802
NiN, 2, NiN, 1100194056, 7595176, 0.56339, 0.794081
vgg-11, 1, vgg-11, 7609101992, 132863336, 0.649, 0.8617
vgg-11-gmp, 1, vgg-11-gmp, 7508438696, 32200040, 0.685, 0.887
vgg-11-gmp, 2, msrc-vgg-11-ns-inv-stride2, 1894346408, 32200040, 0.658979, 0.868541
gmp-sf, 1, msrc-vgg-11-seqsf, 6626457960, 130321320, 0.652159, 0.865542
gmp-lr-wfull, 1, msrc-vgg-11-ns-inv-sf-ninjoinlayer-fixed, 6336823656, 37184712, 0.704181, 0.897385
gmp-lr-join, 1, msrc-vgg-11-ns-inv-sf-full-ninjoinlayer-conv5-512, 3854023016, 27257768, 0.674619, 0.880108
gmp-lr-64, 1, msrc-vgg-11-ns-inv-sf-full-latelr, 3136795304, 31298792, 0.693059, 0.889326
gmp-lr, 1, msrc-vgg-11-ns-inv-sf-all-conv5-512-32, 2518134440, 26054888, 0.67608, 0.880346
gmp-lr-lde, 2, msrc-vgg-11-ns-inv-sf-conv5-512-lde-conv1-3-stride2, 1024052248, 26444584, 0.66694, 0.875402
googlenet-lr-join, 2, msrc-googlenet-sf-join, 1334165544, 4228144, 0.56714, 0.810815
googlenet-lr, 2, msrc-googlenet-sf, 1178239528, 3503664, 0.6725, 0.87956
googlenet-lr-join-conv1sf, 2, msrc-googlenet-sf-join-conv1sf, 1164620072, 4187568, 0.65352, 0.865988
googlenet-lr-conv1sf, 2, msrc-googlenet-sf-conv1sf, 837542440, 3421872, 0.659399, 0.869622
